Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,Independientes
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,2,2,101,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,3,4,220,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899000,2,3,177,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,3,4,216,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,3,3,138,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490000,3,2,133,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680000,3,3,150,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450000,3,3,223,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950000,3,5,236,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380000,2,4,145,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200000,3,4,257,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715000,1,2,117,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190000,2,3,135,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700000,4,4,232,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800000,4,3,150,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980000,3,3,236,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000,4,5,277,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300000,3,4,242,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580000,3,3,182,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,2,2,74,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150000,3,3,152,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705000,3,3,138,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680000,1,2,92,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900000,4,4,277,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250000,3,4,182,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950000,5,4,290,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899000,2,3,177,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799000,2,2,75,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490000,3,3,144,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698000,2,2,108,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170000,2,2,117,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780000,2,2,74,0
