price,baths,rooms,sqft,address,Pisos,Independientes
560000,2,3,74,"Nuevos Ministerios-Ríos Rosas, Madrid",1,0
695000,2,2,262,"Lavapiés-Embajadores, Madrid",1,0
1790000,4,5,414,"Peñagrande, Madrid",0,1
979000,2,3,154,"Acacias, Madrid",1,0
840000,3,4,254,"Moncloa, Madrid",1,0
3200000,5,7,410,"Chamartín, Madrid",0,1
3500000,6,5,890,"Hortaleza, Madrid",0,1
1750000,3,4,220,"Barrio de Salamanca, Madrid",1,0
899000,2,3,177,"Barrio de Salamanca, Madrid",1,0
1300000,3,3,179,"Hortaleza, Madrid",1,0
2300000,5,5,265,"Chamartín, Madrid",1,0
359000,1,1,86,"Rejas, Madrid",1,0
2200000,4,4,450,"Fuencarral, Madrid",1,0
2190000,5,5,352,"Hortaleza, Madrid",0,1
993000,2,4,165,"Centro, Madrid",1,0
515000,1,2,78,"Centro, Madrid",1,0
1200000,2,4,174,"Centro, Madrid",1,0
1900000,4,3,193,"Chamberí, Madrid",1,0
2395000,5,4,264,"Nuevos Ministerios-Ríos Rosas, Madrid",1,0
1500000,3,3,137,"Almagro, Madrid",1,0
378000,2,3,104,"Pau de Carabanchel, Madrid",1,0
2390000,6,6,400,"Moncloa, Madrid",0,1
164000,1,3,67,"Zofío, Madrid",1,0
2990000,3,4,275,"Castellana, Madrid",1,0
1420000,2,4,185,"Chamartín, Madrid",0,1
410000,2,2,68,"Guindalera, Madrid",1,0
780000,2,2,57,"Chueca-Justicia, Madrid",1,0
2000000,3,4,216,"Barrio de Salamanca, Madrid",1,0
1500000,4,5,400,"Hortaleza, Madrid",0,1
1300000,4,3,121,"Recoletos, Madrid",1,0
330000,2,2,80,"Malasaña-Universidad, Madrid",1,0
719000,3,3,87,"Malasaña-Universidad, Madrid",1,0
517000,2,3,109,"La Paz, Madrid",1,0
490000,2,3,108,"Valdezarza, Madrid",1,0
820000,4,5,287,"Fuencarral, Madrid",1,0
435000,1,2,82,"Argüelles, Madrid",1,0
399000,1,2,75,"Fuente del Berro, Madrid",1,0
1550000,3,3,156,"Lista, Madrid",1,0
549000,2,3,127,"La Paz, Madrid",1,0
430000,2,2,76,"Prosperidad, Madrid",1,0
450000,2,3,94,"Pacífico, Madrid",1,0
870000,2,3,177,"Ciudad Universitaria, Madrid",0,1
460000,1,4,126,"Costillares, Madrid",1,0
338000,1,1,67,"Trafalgar, Madrid",1,0
