Usera,Chamberí,San Blas-Canillejas,Moncloa-Aravaca,Barajas,Salamanca,Tetuán,Chamartín,Carabanchel,Villaverde,Latina,Hortaleza,Centro,Ciudad Lineal,Vicálvaro,Villa de Vallecas,Retiro,Fuencarral-El Pardo,Moratalaz,Puente de Vallecas,price,baths,rooms,sqft,size_range,Independientes
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940000,2,3,139,Q2 - Medium,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,1,1,58,Q1 - Small,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000,2,2,60,Q1 - Small,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860000,3,6,363,Q4 - Very Large,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299000,2,3,101,Q1 - Small,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000,1,1,80,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300000,3,4,242,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698000,2,2,108,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,4,6,259,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,2,2,101,Q1 - Small,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,3,4,220,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899000,2,3,177,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,3,4,216,Q3 - Large,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900000,3,3,138,Q2 - Medium,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490000,3,2,133,Q2 - Medium,0
